activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,12147106,[],CHEMBL2188262,Inhibition of IDH1 R132H mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,B,BAO_0000190,BAO_0000019,assay format,Cc1ccccc1C(C(=O)NC1CCNCC1)N(C(=O)Cc1cccs1)c1cccc(F)c1,,,CHEMBL2176947,ACS Med. Chem. Lett.,2012.0,"{'bei': '9.18', 'le': '0.18', 'lle': '-0.11', 'sei': '6.96'}",CHEMBL2180737,,CHEMBL2180737,4.28,False,http://www.openphacts.org/units/Nanomolar,1754042,=,1,True,=,,IC50,nM,,53100.0,CHEMBL2007625,Homo sapiens,Isocitrate dehydrogenase [NADP] cytoplasmic,9606,,,IC50,uM,UO_0000065,,53.1
,12147112,[],CHEMBL2188253,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cc1cscn1)c1cccc(F)c1,,,CHEMBL2176947,ACS Med. Chem. Lett.,2012.0,"{'bei': '10.11', 'le': '0.19', 'lle': '-0.65', 'sei': '7.55'}",CHEMBL2180738,,CHEMBL2180738,4.71,False,http://www.openphacts.org/units/Nanomolar,1754043,=,1,True,=,,IC50,nM,,19700.0,CHEMBL2007625,Homo sapiens,Isocitrate dehydrogenase [NADP] cytoplasmic,9606,,,IC50,uM,UO_0000065,,19.7
,12147113,[],CHEMBL2188253,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cc1ccncc1)c1cccc(F)c1,,,CHEMBL2176947,ACS Med. Chem. Lett.,2012.0,"{'bei': '10.26', 'le': '0.19', 'lle': '-0.59', 'sei': '7.57'}",CHEMBL2180739,,CHEMBL2180739,4.71,False,http://www.openphacts.org/units/Nanomolar,1754044,=,1,True,=,,IC50,nM,,19300.0,CHEMBL2007625,Homo sapiens,Isocitrate dehydrogenase [NADP] cytoplasmic,9606,,,IC50,uM,UO_0000065,,19.3
,12147114,[],CHEMBL2188262,Inhibition of IDH1 R132H mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,B,BAO_0000190,BAO_0000019,assay format,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)CN)c1cccc(F)c1,,,CHEMBL2176947,ACS Med. Chem. Lett.,2012.0,"{'bei': '12.85', 'le': '0.24', 'lle': '1.49', 'sei': '6.77'}",CHEMBL2180743,,CHEMBL2180743,5.11,False,http://www.openphacts.org/units/Nanomolar,1754048,=,1,True,=,,IC50,nM,,7800.0,CHEMBL2007625,Homo sapiens,Isocitrate dehydrogenase [NADP] cytoplasmic,9606,,,IC50,uM,UO_0000065,,7.8
,12147115,[],CHEMBL2188253,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1ccccc1C(C(=O)NC1CCCC1)N(C(=O)Cc1cccs1)c1cccc(F)c1,,,CHEMBL2176947,ACS Med. Chem. Lett.,2012.0,"{'bei': '11.35', 'le': '0.22', 'lle': '-0.46', 'sei': '10.35'}",CHEMBL2180746,,CHEMBL2180746,5.11,False,http://www.openphacts.org/units/Nanomolar,1754051,=,1,True,=,,IC50,nM,,7700.0,CHEMBL2007625,Homo sapiens,Isocitrate dehydrogenase [NADP] cytoplasmic,9606,,,IC50,uM,UO_0000065,,7.7
,12147116,[],CHEMBL2188253,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cc1c[nH]c2ccccc12)c1cccc(F)c1,,,CHEMBL2176947,ACS Med. Chem. Lett.,2012.0,"{'bei': '10.45', 'le': '0.19', 'lle': '-1.18', 'sei': '7.98'}",CHEMBL2180740,,CHEMBL2180740,5.20,False,http://www.openphacts.org/units/Nanomolar,1754045,=,1,True,=,,IC50,nM,,6300.0,CHEMBL2007625,Homo sapiens,Isocitrate dehydrogenase [NADP] cytoplasmic,9606,,,IC50,uM,UO_0000065,,6.3
,12147117,[],CHEMBL2188262,Inhibition of IDH1 R132H mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,B,BAO_0000190,BAO_0000019,assay format,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)CN1CCNCC1)c1cccc(F)c1,,,CHEMBL2176947,ACS Med. Chem. Lett.,2012.0,"{'bei': '11.25', 'le': '0.21', 'lle': '1.69', 'sei': '8.11'}",CHEMBL2180397,,CHEMBL2180397,5.25,False,http://www.openphacts.org/units/Nanomolar,1753626,=,1,True,=,,IC50,nM,,5640.0,CHEMBL2007625,Homo sapiens,Isocitrate dehydrogenase [NADP] cytoplasmic,9606,,,IC50,uM,UO_0000065,,5.64
,12147119,[],CHEMBL2188262,Inhibition of IDH1 R132H mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,B,BAO_0000190,BAO_0000019,assay format,CN(C(=O)C(c1ccccc1)N(C(=O)Cc1cccs1)c1cccc(F)c1)C1CCCCC1,,,CHEMBL2176947,ACS Med. Chem. Lett.,2012.0,"{'bei': '11.72', 'le': '0.23', 'lle': '-0.56', 'sei': '13.40'}",CHEMBL2180751,,CHEMBL2180751,5.44,False,http://www.openphacts.org/units/Nanomolar,1754056,=,1,True,=,,IC50,nM,,3600.0,CHEMBL2007625,Homo sapiens,Isocitrate dehydrogenase [NADP] cytoplasmic,9606,,,IC50,uM,UO_0000065,,3.6
,12147120,[],CHEMBL2188253,Inhibition of wild type IDH1 using DL-isocitrate as substrate by resazurin-based fluorimetric analysis,B,BAO_0000190,BAO_0000357,single protein format,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cc1cccs1)c1cccc(F)c1,,,CHEMBL2176947,ACS Med. Chem. Lett.,2012.0,"{'bei': '11.92', 'le': '0.23', 'lle': '-0.42', 'sei': '11.21'}",CHEMBL2180730,,CHEMBL2180730,5.54,False,http://www.openphacts.org/units/Nanomolar,1754035,=,1,True,=,,IC50,nM,,2900.0,CHEMBL2007625,Homo sapiens,Isocitrate dehydrogenase [NADP] cytoplasmic,9606,,,IC50,uM,UO_0000065,,2.9
,12147121,[],CHEMBL2188262,Inhibition of IDH1 R132H mutant using alpha-ketoglutarate as substrate after 60 mins by resazurin-based fluorimetric analysis,B,BAO_0000190,BAO_0000019,assay format,Cc1ccccc1C(C(=O)NC1CC1)N(C(=O)Cc1cccs1)c1cccc(F)c1,,,CHEMBL2176947,ACS Med. Chem. Lett.,2012.0,"{'bei': '13.11', 'le': '0.25', 'lle': '0.75', 'sei': '11.21'}",CHEMBL2180733,,CHEMBL2180733,5.54,False,http://www.openphacts.org/units/Nanomolar,1754038,=,1,True,=,,IC50,nM,,2880.0,CHEMBL2007625,Homo sapiens,Isocitrate dehydrogenase [NADP] cytoplasmic,9606,,,IC50,uM,UO_0000065,,2.88
