activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,18328032,[],CHEMBL4135758,Inhibition of IDH2 R140Q mutant (unknown origin) expressed in human HCT116 cells assessed as reduction in 2-HG level,B,BAO_0000190,BAO_0000219,cell-based format,Cc1cc([C@H](C)Nc2nccc(N3C(=O)OC[C@@H]3[C@H](C)F)n2)ncc1-c1ccnc(C(F)(F)F)c1,,,CHEMBL4130531,ACS Med Chem Lett,2017.0,"{'bei': '11.05', 'le': '0.21', 'lle': '0.30', 'sei': '5.82'}",CHEMBL3947537,,CHEMBL3947537,5.42,False,http://www.openphacts.org/units/Nanomolar,3043147,=,1,True,=,,IC50,nM,,3800.0,CHEMBL3991501,Homo sapiens,"Isocitrate dehydrogenase [NADP], mitochondrial",9606,,,IC50,uM,UO_0000065,,3.8
,18328033,[],CHEMBL4135757,Inhibition of IDH2 R172K mutant (unknown origin) expressed in human HCT116 cells assessed as reduction in 2-HG level,B,BAO_0000190,BAO_0000219,cell-based format,Cc1cc([C@H](C)Nc2nccc(N3C(=O)OC[C@@H]3[C@H](C)F)n2)ncc1-c1ccnc(C(F)(F)F)c1,,,CHEMBL4130531,ACS Med Chem Lett,2017.0,"{'bei': '10.19', 'le': '0.20', 'lle': '-0.12', 'sei': '5.37'}",CHEMBL3947537,,CHEMBL3947537,5.00,False,http://www.openphacts.org/units/Nanomolar,3043147,=,1,True,=,,IC50,nM,,10000.0,CHEMBL3991501,Homo sapiens,"Isocitrate dehydrogenase [NADP], mitochondrial",9606,,,IC50,uM,UO_0000065,,10.0
,18461472,[],CHEMBL4180682,Inhibition of IDH2 R140Q mutant (unknown origin) using alpha-ketoglutarate as substrate pretreated for 60 mins followed by substrate addition measured after 60 mins by resazurin dye based fluorescence assay,B,BAO_0000190,BAO_0000357,single protein format,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cc(F)cc(F)c2)[C@@]2(C(=O)NC3CC(F)(F)C3)CCc3ccccc32)c1,,,CHEMBL4177635,Bioorg Med Chem Lett,2017.0,,CHEMBL4207897,,CHEMBL4207897,,False,http://www.openphacts.org/units/Nanomolar,3063883,>,1,True,>,,IC50,nM,,100.0,CHEMBL3991501,Homo sapiens,"Isocitrate dehydrogenase [NADP], mitochondrial",9606,,,IC50,nM,UO_0000065,,100.0
,18461473,[],CHEMBL4180682,Inhibition of IDH2 R140Q mutant (unknown origin) using alpha-ketoglutarate as substrate pretreated for 60 mins followed by substrate addition measured after 60 mins by resazurin dye based fluorescence assay,B,BAO_0000190,BAO_0000357,single protein format,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cccc(F)c2)[C@@]2(C(=O)NC3CC(F)(F)C3)CCc3cc(Cl)ccc32)c1,,,CHEMBL4177635,Bioorg Med Chem Lett,2017.0,,CHEMBL4212544,,CHEMBL4212544,,False,http://www.openphacts.org/units/Nanomolar,3063891,>,1,True,>,,IC50,nM,,100.0,CHEMBL3991501,Homo sapiens,"Isocitrate dehydrogenase [NADP], mitochondrial",9606,,,IC50,nM,UO_0000065,,100.0
,18712296,[],CHEMBL4257014,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",B,BAO_0000190,BAO_0000219,cell-based format,FC(F)(F)c1cccc(-c2nc(NCC3CC3)nc(NCC3CC3)n2)n1,,,CHEMBL4257005,,,,CHEMBL4292293,,CHEMBL4292293,,False,http://www.openphacts.org/units/Nanomolar,3108003,<,38,True,<,,IC50,nM,,50.0,CHEMBL3991501,Homo sapiens,"Isocitrate dehydrogenase [NADP], mitochondrial",9606,,,IC50,nM,UO_0000065,,50.0
,18712297,[],CHEMBL4257014,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",B,BAO_0000190,BAO_0000219,cell-based format,C[C@@H](Nc1nc(N[C@H](C)C2CC2)nc(-c2cccc(C(F)(F)F)n2)n1)C1CC1,,,CHEMBL4257005,,,,CHEMBL4278828,,CHEMBL4278828,,False,http://www.openphacts.org/units/Nanomolar,3108004,<,38,True,<,,IC50,nM,,50.0,CHEMBL3991501,Homo sapiens,"Isocitrate dehydrogenase [NADP], mitochondrial",9606,,,IC50,nM,UO_0000065,,50.0
,18712298,[],CHEMBL4257014,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",B,BAO_0000190,BAO_0000219,cell-based format,CC(C)(C)Nc1nc(NC(C)(C)C)nc(-c2cccc(C(F)(F)F)n2)n1,,,CHEMBL4257005,,,,CHEMBL4284907,,CHEMBL4284907,,False,http://www.openphacts.org/units/Nanomolar,3108006,<,38,True,<,,IC50,nM,,50.0,CHEMBL3991501,Homo sapiens,"Isocitrate dehydrogenase [NADP], mitochondrial",9606,,,IC50,nM,UO_0000065,,50.0
,18712299,[],CHEMBL4257014,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",B,BAO_0000190,BAO_0000219,cell-based format,FC(F)(F)c1cccc(-c2nc(NCC3CCC3)nc(NCC3CCC3)n2)n1,,,CHEMBL4257005,,,,CHEMBL4287094,,CHEMBL4287094,,False,http://www.openphacts.org/units/Nanomolar,3108009,<,38,True,<,,IC50,nM,,50.0,CHEMBL3991501,Homo sapiens,"Isocitrate dehydrogenase [NADP], mitochondrial",9606,,,IC50,nM,UO_0000065,,50.0
,18712300,[],CHEMBL4257014,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",B,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(F)c(-c2nc(N[C@H](C)C3CC3)nc(N[C@H](C)C3CC3)n2)c1,,,CHEMBL4257005,,,"{'bei': '19.65', 'le': '0.37', 'lle': '3.19', 'sei': '10.15'}",CHEMBL4290152,,CHEMBL4290152,7.30,False,http://www.openphacts.org/units/Nanomolar,3108010,=,38,True,=,,IC50,nM,,50.0,CHEMBL3991501,Homo sapiens,"Isocitrate dehydrogenase [NADP], mitochondrial",9606,,,IC50,nM,UO_0000065,100.0,50.0
,18712301,[],CHEMBL4257014,"Inhibition of IDH2 R140Q mutant homodimer (unknown origin) expressed in Sf9 cells pre-incubated for 1 hr before addition of alpha-KG followed by 16 hrs incubation in presence of NADPH, NADP, diaphorase and resazurin by fluorescence spectrometry based cofactor depletion assay",B,BAO_0000190,BAO_0000219,cell-based format,FC(F)(F)c1cccc(-c2nc(NC3CCC3)nc(NC3CCC3)n2)n1,,,CHEMBL4257005,,,,CHEMBL4291180,,CHEMBL4291180,,False,http://www.openphacts.org/units/Nanomolar,3108011,<,38,True,<,,IC50,nM,,50.0,CHEMBL3991501,Homo sapiens,"Isocitrate dehydrogenase [NADP], mitochondrial",9606,,,IC50,nM,UO_0000065,,50.0
