activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,2600609,[],CHEMBL1029071,Antagonist activity at human Smo receptor expressed in CHO cells by [3H]Hh-Ag binding assay,B,BAO_0000190,BAO_0000219,cell-based format,COC(=O)N[C@@H]1Cc2ccc(NC(=O)c3cccc(C)c3-c3ccc(C(F)(F)F)cc3)cc2C1,,,CHEMBL1149081,Bioorg. Med. Chem. Lett.,2009,"{'bei': '11.67', 'le': '0.22', 'lle': '-0.29', 'sei': '8.11'}",CHEMBL423915,,CHEMBL423915,5.47,False,http://www.openphacts.org/units/Nanomolar,807268,=,1,True,=,,IC50,nM,,3420.0,CHEMBL5971,Homo sapiens,Smoothened homolog,9606,,,IC50,nM,UO_0000065,,3420.0
,2600613,[],CHEMBL1029071,Antagonist activity at human Smo receptor expressed in CHO cells by [3H]Hh-Ag binding assay,B,BAO_0000190,BAO_0000219,cell-based format,COC(=O)N[C@H]1Cc2ccc(NC(=O)c3cccc(C)c3-c3ccc(C(F)(F)F)cc3)cc2C1,,,CHEMBL1149081,Bioorg. Med. Chem. Lett.,2009,"{'bei': '10.94', 'le': '0.21', 'lle': '-0.64', 'sei': '7.60'}",CHEMBL142450,,CHEMBL142450,5.12,False,http://www.openphacts.org/units/Nanomolar,807269,=,1,True,=,,IC50,nM,,7520.0,CHEMBL5971,Homo sapiens,Smoothened homolog,9606,,,IC50,nM,UO_0000065,,7520.0
,2600615,[],CHEMBL1029071,Antagonist activity at human Smo receptor expressed in CHO cells by [3H]Hh-Ag binding assay,B,BAO_0000190,BAO_0000219,cell-based format,COC(=O)NC1Cc2ccc(NC(=O)c3cccc(C)c3-c3ccc(C(F)(F)F)cc3)cc2C1,,,CHEMBL1149081,Bioorg. Med. Chem. Lett.,2009,"{'bei': '11.89', 'le': '0.22', 'lle': '-0.19', 'sei': '8.26'}",CHEMBL473703,,CHEMBL473703,5.57,False,http://www.openphacts.org/units/Nanomolar,807370,=,1,True,=,,IC50,nM,,2700.0,CHEMBL5971,Homo sapiens,Smoothened homolog,9606,,,IC50,nM,UO_0000065,,2700.0
,2600627,[],CHEMBL1029071,Antagonist activity at human Smo receptor expressed in CHO cells by [3H]Hh-Ag binding assay,B,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@@H](NCc2ccccn2)C3)c1-c1ccc(C(F)(F)F)cc1,,,CHEMBL1149081,Bioorg. Med. Chem. Lett.,2009,"{'bei': '13.80', 'le': '0.26', 'lle': '0.33', 'sei': '12.81'}",CHEMBL142972,,CHEMBL142972,6.92,False,http://www.openphacts.org/units/Nanomolar,807538,=,1,True,=,,IC50,nM,,120.0,CHEMBL5971,Homo sapiens,Smoothened homolog,9606,,,IC50,nM,UO_0000065,,120.0
,2600630,[],CHEMBL1029071,Antagonist activity at human Smo receptor expressed in CHO cells by [3H]Hh-Ag binding assay,B,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@H](NCc2nccs2)C3)c1-c1ccc(C(F)(F)F)cc1,,,CHEMBL1149081,Bioorg. Med. Chem. Lett.,2009,"{'bei': '12.04', 'le': '0.23', 'lle': '-0.54', 'sei': '11.32'}",CHEMBL474892,,CHEMBL474892,6.11,False,http://www.openphacts.org/units/Nanomolar,807539,=,1,True,=,,IC50,nM,,770.0,CHEMBL5971,Homo sapiens,Smoothened homolog,9606,,,IC50,nM,UO_0000065,,770.0
,2600635,[],CHEMBL1029071,Antagonist activity at human Smo receptor expressed in CHO cells by [3H]Hh-Ag binding assay,B,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@@H](NCc2nccs2)C3)c1-c1ccc(C(F)(F)F)cc1,,,CHEMBL1149081,Bioorg. Med. Chem. Lett.,2009,"{'bei': '14.82', 'le': '0.29', 'lle': '0.87', 'sei': '13.93'}",CHEMBL474893,,CHEMBL474893,7.52,False,http://www.openphacts.org/units/Nanomolar,807540,=,1,True,=,,IC50,nM,,30.0,CHEMBL5971,Homo sapiens,Smoothened homolog,9606,,,IC50,nM,UO_0000065,,30.0
,2600643,[],CHEMBL1029071,Antagonist activity at human Smo receptor expressed in CHO cells by [3H]Hh-Ag binding assay,B,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1ccc2c(c1)CC(NCc1ccccn1)C2)c1ccccc1-c1ccc(C(F)(F)F)cc1,,,CHEMBL1149081,Bioorg. Med. Chem. Lett.,2009,"{'bei': '12.52', 'le': '0.23', 'lle': '-0.18', 'sei': '11.30'}",CHEMBL473892,,CHEMBL473892,6.10,False,http://www.openphacts.org/units/Nanomolar,807632,=,1,True,=,,IC50,nM,,790.0,CHEMBL5971,Homo sapiens,Smoothened homolog,9606,,,IC50,nM,UO_0000065,,790.0
,2600647,[],CHEMBL1029071,Antagonist activity at human Smo receptor expressed in CHO cells by [3H]Hh-Ag binding assay,B,BAO_0000190,BAO_0000219,cell-based format,O=C(Nc1ccc2c(c1)CC(NCc1ccccn1)C2)c1ccccc1-c1ccccc1,,,CHEMBL1149081,Bioorg. Med. Chem. Lett.,2009,"{'bei': '14.16', 'le': '0.25', 'lle': '0.68', 'sei': '10.99'}",CHEMBL515245,,CHEMBL515245,5.94,False,http://www.openphacts.org/units/Nanomolar,807634,=,1,True,=,,IC50,nM,,1150.0,CHEMBL5971,Homo sapiens,Smoothened homolog,9606,,,IC50,nM,UO_0000065,,1150.0
,2600650,[],CHEMBL1029071,Antagonist activity at human Smo receptor expressed in CHO cells by [3H]Hh-Ag binding assay,B,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@@H](NCc2ccccc2)C3)c1-c1ccc(C(F)(F)F)cc1,,,CHEMBL1149081,Bioorg. Med. Chem. Lett.,2009,"{'bei': '15.69', 'le': '0.29', 'lle': '0.66', 'sei': '19.10'}",CHEMBL473896,,CHEMBL473896,7.85,False,http://www.openphacts.org/units/Nanomolar,807721,=,1,True,=,,IC50,nM,,14.0,CHEMBL5971,Homo sapiens,Smoothened homolog,9606,,,IC50,nM,UO_0000065,,14.0
,2600654,[],CHEMBL1029071,Antagonist activity at human Smo receptor expressed in CHO cells by [3H]Hh-Ag binding assay,B,BAO_0000190,BAO_0000219,cell-based format,Cc1cccc(C(=O)Nc2ccc3c(c2)C[C@@H](NCc2ccncc2)C3)c1-c1ccc(C(F)(F)F)cc1,,,CHEMBL1149081,Bioorg. Med. Chem. Lett.,2009,"{'bei': '13.20', 'le': '0.24', 'lle': '0.03', 'sei': '12.25'}",CHEMBL473897,,CHEMBL473897,6.62,False,http://www.openphacts.org/units/Nanomolar,807722,=,1,True,=,,IC50,nM,,240.0,CHEMBL5971,Homo sapiens,Smoothened homolog,9606,,,IC50,nM,UO_0000065,,240.0
